Name,Setter,Ascensionist Count,Angle,V Grade,Holds
Dreamscape Fanatics,RemusRain,135,35,6,"[[(80, 24), 'Starting'], [(80, 80), 'Starting'], [(48, 96), 'Feet'], [(120, 96), 'Feet'], [(88, 104), 'Hand'], [(80, 120), 'Hand'], [(112, 136), 'Hand'], [(104, 152), 'Finish'], [(84, 4), 'Feet']]"
HilDawgyDawg,BKBChicago,189,0,0,"[[(32, 8), 'Feet'], [(64, 32), 'Feet'], [(32, 48), 'Starting'], [(48, 48), 'Starting'], [(56, 64), 'Hand'], [(88, 64), 'Hand'], [(48, 96), 'Feet'], [(64, 96), 'Hand'], [(64, 104), 'Hand'], [(88, 112), 'Hand'], [(72, 136), 'Hand'], [(64, 152), 'Finish']]"
wizard of odd,minivanstew,94,0,2,"[[(104, 48), 'Starting'], [(88, 72), 'Hand'], [(72, 88), 'Hand'], [(96, 88), 'Hand'], [(88, 104), 'Hand'], [(72, 120), 'Hand'], [(88, 136), 'Hand'], [(112, 152), 'Finish'], [(108, 4), 'Feet'], [(76, 28), 'Feet'], [(60, 76), 'Feet'], [(116, 100), 'Feet']]"
Adamantium im Blut tut selten gut,Arne,73,0,3,"[[(48, 8), 'Feet'], [(40, 48), 'Starting'], [(16, 80), 'Hand'], [(40, 96), 'Hand'], [(40, 112), 'Hand'], [(80, 112), 'Hand'], [(80, 120), 'Hand'], [(112, 120), 'Hand'], [(120, 152), 'Finish'], [(12, 28), 'Feet'], [(36, 36), 'Feet'], [(52, 52), 'Feet'], [(28, 60), 'Feet'], [(60, 76), 'Feet'], [(92, 76), 'Feet'], [(124, 76), 'Feet'], [(100, 84), 'Feet'], [(116, 84), 'Feet']]"
Chubby,Ymer,95,30,5,"[[(24, 32), 'Starting'], [(32, 40), 'Starting'], [(40, 64), 'Hand'], [(64, 72), 'Hand'], [(64, 88), 'Hand'], [(88, 96), 'Hand'], [(80, 120), 'Hand'], [(56, 136), 'Hand'], [(40, 152), 'Finish'], [(44, 4), 'Feet'], [(12, 4), 'Feet'], [(92, 60), 'Feet']]"
The Big Squeeze,bkbskilterboard,90,15,3,"[[(96, 32), 'Starting'], [(64, 40), 'Starting'], [(88, 64), 'Hand'], [(56, 80), 'Hand'], [(96, 88), 'Hand'], [(56, 104), 'Hand'], [(88, 128), 'Hand'], [(48, 136), 'Hand'], [(56, 144), 'Finish'], [(88, 152), 'Finish'], [(100, 4), 'Feet'], [(92, 28), 'Feet']]"
aces high,blackshadow,41,30,3,"[[(8, 8), 'Feet'], [(24, 40), 'Starting'], [(16, 48), 'Starting'], [(16, 64), 'Hand'], [(48, 72), 'Hand'], [(56, 72), 'Hand'], [(80, 80), 'Hand'], [(64, 104), 'Hand'], [(88, 112), 'Hand'], [(80, 136), 'Hand'], [(88, 152), 'Finish'], [(36, 20), 'Feet'], [(44, 28), 'Feet'], [(44, 44), 'Feet'], [(76, 60), 'Feet'], [(108, 76), 'Feet'], [(108, 92), 'Feet']]"
bph37,brianharrington,60,40,7,"[[(56, 16), 'Feet'], [(48, 40), 'Starting'], [(80, 48), 'Starting'], [(24, 64), 'Feet'], [(88, 72), 'Hand'], [(56, 96), 'Hand'], [(40, 104), 'Hand'], [(24, 112), 'Hand'], [(24, 144), 'Finish']]"
What Is A Kilter Board,c_Dog32,76,0,0,"[[(64, 8), 'Feet'], [(40, 8), 'Feet'], [(64, 32), 'Feet'], [(80, 40), 'Feet'], [(32, 56), 'Starting'], [(56, 56), 'Starting'], [(48, 72), 'Hand'], [(72, 80), 'Hand'], [(56, 88), 'Feet'], [(64, 96), 'Hand'], [(40, 104), 'Feet'], [(80, 112), 'Hand'], [(56, 120), 'Hand'], [(72, 128), 'Hand'], [(72, 136), 'Hand'], [(56, 152), 'Finish']]"
yeah tommmmy,alex_mason,51,15,5,"[[(72, 8), 'Feet'], [(64, 40), 'Starting'], [(104, 40), 'Starting'], [(96, 64), 'Hand'], [(56, 80), 'Hand'], [(16, 96), 'Feet'], [(88, 104), 'Hand'], [(40, 112), 'Hand'], [(64, 120), 'Hand'], [(32, 144), 'Hand'], [(64, 152), 'Finish'], [(84, 4), 'Feet'], [(68, 52), 'Feet'], [(28, 60), 'Feet']]"
Bro-verdose,KarstenWalker,49,35,6,"[[(72, 24), 'Feet'], [(64, 40), 'Feet'], [(48, 56), 'Starting'], [(96, 56), 'Starting'], [(80, 80), 'Hand'], [(104, 80), 'Hand'], [(96, 96), 'Hand'], [(48, 104), 'Hand'], [(16, 112), 'Feet'], [(64, 120), 'Hand'], [(40, 128), 'Hand'], [(64, 152), 'Finish']]"
two bumps,Louie,53,20,3,"[[(88, 32), 'Starting'], [(96, 32), 'Starting'], [(96, 64), 'Hand'], [(64, 72), 'Hand'], [(88, 96), 'Hand'], [(104, 112), 'Hand'], [(104, 136), 'Hand'], [(80, 152), 'Finish'], [(92, 4), 'Feet'], [(76, 4), 'Feet'], [(68, 36), 'Feet'], [(116, 84), 'Feet']]"
Ned’s Declassified,JarodSuxLemons,40,40,7,"[[(32, 32), 'Starting'], [(64, 40), 'Starting'], [(48, 72), 'Hand'], [(104, 72), 'Feet'], [(48, 96), 'Hand'], [(48, 112), 'Hand'], [(96, 120), 'Hand'], [(96, 136), 'Hand'], [(112, 152), 'Finish'], [(76, 4), 'Feet'], [(36, 4), 'Feet'], [(28, 60), 'Feet']]"
Off The Rocket,platypusduck777,76,30,6,"[[(72, 8), 'Feet'], [(96, 56), 'Hand'], [(96, 64), 'Hand'], [(64, 72), 'Hand'], [(40, 96), 'Hand'], [(80, 96), 'Hand'], [(64, 120), 'Hand'], [(32, 144), 'Hand'], [(40, 152), 'Finish'], [(108, 4), 'Feet'], [(60, 44), 'Feet'], [(108, 44), 'Starting'], [(132, 52), 'Starting']]"
Moderate GnarGnar,ethanleinius,59,0,3,"[[(56, 40), 'Starting'], [(104, 40), 'Starting'], [(88, 80), 'Hand'], [(56, 96), 'Hand'], [(88, 112), 'Hand'], [(88, 144), 'Finish'], [(68, 4), 'Feet'], [(76, 60), 'Feet'], [(108, 76), 'Feet']]"
Asian Connection,DaveDuh,136,25,5,"[[(120, 40), 'Starting'], [(136, 40), 'Starting'], [(96, 48), 'Hand'], [(48, 56), 'Hand'], [(96, 56), 'Hand'], [(40, 72), 'Feet'], [(56, 80), 'Hand'], [(40, 104), 'Hand'], [(80, 120), 'Hand'], [(80, 144), 'Hand'], [(56, 152), 'Finish'], [(84, 4), 'Feet'], [(28, 28), 'Feet'], [(68, 36), 'Feet'], [(76, 60), 'Feet'], [(52, 116), 'Hand']]"
The Wheel of Awesome,RavioliTriceps,567,30,8,"[[(72, 8), 'Feet'], [(24, 32), 'Starting'], [(72, 40), 'Starting'], [(40, 80), 'Hand'], [(72, 88), 'Hand'], [(120, 112), 'Hand'], [(136, 120), 'Hand'], [(136, 144), 'Hand'], [(104, 152), 'Finish'], [(68, 20), 'Feet'], [(44, 28), 'Feet']]"
고오스,hdlee,41,35,5,"[[(88, 8), 'Feet'], [(112, 24), 'Feet'], [(64, 40), 'Starting'], [(96, 56), 'Starting'], [(96, 80), 'Hand'], [(96, 88), 'Hand'], [(72, 104), 'Hand'], [(80, 128), 'Hand'], [(80, 144), 'Hand'], [(112, 152), 'Finish'], [(84, 52), 'Feet']]"
Just Monika,snsrylss,269,15,5,"[[(40, 80), 'Hand'], [(40, 112), 'Hand'], [(64, 136), 'Hand'], [(104, 144), 'Hand'], [(136, 144), 'Finish'], [(36, 20), 'Feet'], [(28, 28), 'Starting'], [(68, 36), 'Feet'], [(28, 44), 'Feet'], [(68, 52), 'Feet'], [(4, 68), 'Starting'], [(36, 68), 'Hand'], [(68, 84), 'Hand'], [(84, 116), 'Hand'], [(100, 132), 'Hand']]"
Doobie’s Bounce,BKBChicago,42,0,0,"[[(48, 8), 'Feet'], [(48, 48), 'Starting'], [(56, 64), 'Starting'], [(72, 80), 'Hand'], [(64, 104), 'Hand'], [(72, 120), 'Hand'], [(72, 136), 'Hand'], [(88, 152), 'Finish']]"
that’s a nice Boulder -donkey from shrek,charityford,70,40,1,"[[(80, 32), 'Feet'], [(40, 40), 'Feet'], [(72, 48), 'Feet'], [(56, 64), 'Starting'], [(88, 72), 'Feet'], [(72, 80), 'Starting'], [(40, 88), 'Hand'], [(72, 96), 'Hand'], [(56, 112), 'Hand'], [(72, 120), 'Hand'], [(48, 136), 'Hand'], [(72, 136), 'Hand'], [(56, 152), 'Finish'], [(72, 152), 'Finish'], [(60, 28), 'Feet'], [(36, 52), 'Feet'], [(44, 76), 'Feet'], [(68, 84), 'Feet'], [(76, 92), 'Feet'], [(52, 100), 'Feet'], [(84, 116), 'Feet']]"
dinker,T.Raw,47,25,2,"[[(88, 8), 'Feet'], [(64, 8), 'Feet'], [(72, 40), 'Starting'], [(80, 72), 'Hand'], [(96, 80), 'Hand'], [(64, 112), 'Hand'], [(72, 112), 'Hand'], [(48, 128), 'Hand'], [(64, 152), 'Finish'], [(84, 20), 'Feet'], [(68, 36), 'Feet'], [(68, 84), 'Feet'], [(84, 100), 'Feet']]"
ClimbFit Weekly 9,and031,171,40,4,"[[(112, 40), 'Starting'], [(96, 48), 'Starting'], [(120, 72), 'Hand'], [(104, 88), 'Hand'], [(64, 104), 'Hand'], [(120, 104), 'Hand'], [(88, 112), 'Hand'], [(96, 112), 'Hand'], [(72, 136), 'Hand'], [(40, 152), 'Finish'], [(124, 4), 'Feet'], [(140, 44), 'Feet'], [(68, 84), 'Feet']]"
cunnot,climbcentral,130,0,3,"[[(72, 8), 'Feet'], [(88, 32), 'Starting'], [(56, 40), 'Starting'], [(80, 64), 'Hand'], [(104, 88), 'Hand'], [(88, 104), 'Hand'], [(72, 128), 'Hand'], [(104, 128), 'Hand'], [(72, 152), 'Finish'], [(44, 4), 'Feet'], [(68, 52), 'Feet']]"
Crimp Cross Co.,snsrylss,150,10,5,"[[(136, 32), 'Starting'], [(104, 80), 'Hand'], [(120, 104), 'Hand'], [(96, 128), 'Hand'], [(64, 136), 'Hand'], [(72, 152), 'Finish'], [(140, 4), 'Feet'], [(116, 4), 'Feet'], [(84, 20), 'Feet'], [(108, 60), 'Hand'], [(92, 92), 'Hand']]"
Crimps to Barn Door,BigPappaPenguin,51,0,5,"[[(72, 24), 'Starting'], [(56, 32), 'Starting'], [(112, 104), 'Hand'], [(104, 144), 'Hand'], [(48, 152), 'Finish'], [(76, 4), 'Feet'], [(76, 44), 'Feet'], [(116, 68), 'Feet'], [(60, 76), 'Hand'], [(68, 84), 'Hand'], [(60, 108), 'Hand'], [(76, 108), 'Hand']]"
not enough cheese,texas_tickler,107,40,9,"[[(32, 8), 'Feet'], [(40, 56), 'Starting'], [(48, 96), 'Hand'], [(80, 104), 'Hand'], [(64, 136), 'Hand'], [(96, 152), 'Finish'], [(4, 36), 'Feet'], [(84, 68), 'Feet']]"
Romper,Ahnsight,403,15,2,"[[(104, 8), 'Feet'], [(104, 40), 'Starting'], [(56, 48), 'Hand'], [(96, 48), 'Starting'], [(88, 72), 'Hand'], [(32, 80), 'Hand'], [(64, 80), 'Hand'], [(40, 104), 'Hand'], [(16, 128), 'Finish'], [(24, 128), 'Finish'], [(68, 20), 'Feet'], [(28, 44), 'Feet'], [(20, 68), 'Feet']]"
Moar Powah!!!,jwilder,47,30,4,"[[(8, 72), 'Starting'], [(16, 104), 'Hand'], [(24, 104), 'Hand'], [(56, 136), 'Hand'], [(56, 152), 'Finish'], [(4, 36), 'Feet'], [(20, 68), 'Starting']]"
no one climbs like gaston,BKBChicago,61,30,5,"[[(32, 8), 'Feet'], [(40, 32), 'Starting'], [(48, 56), 'Hand'], [(24, 64), 'Hand'], [(56, 96), 'Hand'], [(40, 128), 'Hand'], [(64, 152), 'Finish'], [(12, 28), 'Feet'], [(36, 36), 'Feet'], [(36, 52), 'Feet'], [(52, 84), 'Feet'], [(36, 100), 'Hand']]"
Tico Power,sharma,107,35,5,"[[(56, 40), 'Starting'], [(64, 40), 'Starting'], [(40, 48), 'Feet'], [(80, 80), 'Hand'], [(88, 96), 'Hand'], [(64, 128), 'Hand'], [(96, 128), 'Hand'], [(64, 136), 'Hand'], [(40, 152), 'Finish'], [(60, 4), 'Feet'], [(68, 52), 'Feet']]"
shaker team squishy holds,marin.carlson,53,40,0,"[[(56, 16), 'Feet'], [(56, 32), 'Feet'], [(80, 32), 'Feet'], [(72, 40), 'Starting'], [(72, 48), 'Starting'], [(96, 48), 'Feet'], [(104, 48), 'Feet'], [(72, 64), 'Hand'], [(56, 72), 'Hand'], [(88, 80), 'Hand'], [(64, 96), 'Hand'], [(72, 112), 'Hand'], [(80, 128), 'Hand'], [(72, 136), 'Hand'], [(64, 144), 'Hand'], [(72, 152), 'Finish'], [(76, 4), 'Feet'], [(84, 20), 'Feet']]"
does it po-go!?,Jack_Masel,242,20,5,"[[(72, 32), 'Starting'], [(56, 64), 'Starting'], [(72, 72), 'Hand'], [(96, 88), 'Hand'], [(96, 120), 'Hand'], [(80, 152), 'Finish'], [(52, 4), 'Feet'], [(84, 20), 'Feet'], [(92, 28), 'Feet'], [(92, 44), 'Feet'], [(92, 60), 'Feet']]"
pingeleling,aksnes84,59,40,1,"[[(56, 32), 'Feet'], [(80, 40), 'Feet'], [(56, 56), 'Feet'], [(72, 56), 'Feet'], [(56, 72), 'Starting'], [(80, 72), 'Feet'], [(72, 80), 'Starting'], [(56, 88), 'Feet'], [(72, 88), 'Hand'], [(56, 96), 'Hand'], [(72, 112), 'Hand'], [(56, 120), 'Hand'], [(72, 136), 'Hand'], [(56, 152), 'Finish'], [(72, 152), 'Finish'], [(140, 60), 'Feet'], [(100, 116), 'Feet']]"
What’s BEEF?,blocshopnic,61,45,5,"[[(32, 88), 'Starting'], [(24, 96), 'Starting'], [(64, 104), 'Hand'], [(56, 112), 'Hand'], [(88, 112), 'Hand'], [(88, 144), 'Hand'], [(88, 152), 'Finish'], [(36, 20), 'Feet'], [(84, 52), 'Feet'], [(76, 60), 'Feet'], [(4, 68), 'Feet'], [(100, 84), 'Feet'], [(108, 108), 'Feet']]"
L_O_N_G_B_O_I,drwright,72,40,4,"[[(88, 8), 'Feet'], [(48, 8), 'Feet'], [(64, 32), 'Feet'], [(80, 32), 'Feet'], [(32, 48), 'Feet'], [(64, 48), 'Feet'], [(96, 48), 'Starting'], [(88, 56), 'Hand'], [(112, 64), 'Starting'], [(32, 72), 'Feet'], [(56, 72), 'Hand'], [(64, 80), 'Hand'], [(32, 104), 'Hand'], [(64, 120), 'Hand'], [(48, 136), 'Hand'], [(72, 152), 'Finish'], [(116, 4), 'Feet'], [(92, 4), 'Feet'], [(76, 76), 'Feet']]"
no feet no match III,felipe.hoo,55,40,8,"[[(24, 48), 'Starting'], [(32, 48), 'Starting'], [(24, 80), 'Hand'], [(64, 96), 'Hand'], [(64, 120), 'Hand'], [(80, 120), 'Hand'], [(56, 144), 'Hand'], [(40, 152), 'Finish']]"
Boulder IV,trym.sl,62,40,6,"[[(72, 8), 'Feet'], [(72, 40), 'Starting'], [(64, 64), 'Hand'], [(80, 88), 'Hand'], [(80, 96), 'Hand'], [(88, 112), 'Hand'], [(64, 136), 'Hand'], [(40, 152), 'Finish'], [(56, 152), 'Finish'], [(108, 60), 'Feet']]"
There is always an asian better than you,DaveDuh,94,30,6,"[[(120, 40), 'Starting'], [(136, 40), 'Starting'], [(96, 48), 'Hand'], [(48, 56), 'Hand'], [(96, 56), 'Hand'], [(32, 72), 'Feet'], [(56, 80), 'Hand'], [(104, 88), 'Feet'], [(40, 104), 'Hand'], [(64, 120), 'Hand'], [(80, 120), 'Hand'], [(88, 136), 'Hand'], [(104, 152), 'Finish'], [(84, 4), 'Feet'], [(28, 28), 'Feet'], [(68, 36), 'Feet'], [(76, 60), 'Feet']]"
spicy top,jakeclimbs,147,40,5,"[[(88, 8), 'Feet'], [(72, 8), 'Feet'], [(80, 32), 'Starting'], [(72, 40), 'Starting'], [(112, 48), 'Feet'], [(56, 64), 'Hand'], [(96, 88), 'Hand'], [(104, 88), 'Feet'], [(72, 112), 'Hand'], [(96, 120), 'Hand'], [(96, 152), 'Finish']]"
MH6,longmont,42,20,6,"[[(64, 72), 'Hand'], [(72, 72), 'Hand'], [(104, 96), 'Hand'], [(32, 104), 'Starting'], [(32, 112), 'Starting'], [(96, 120), 'Hand'], [(96, 128), 'Hand'], [(72, 152), 'Finish'], [(52, 36), 'Feet'], [(84, 36), 'Feet'], [(36, 52), 'Feet'], [(116, 68), 'Feet']]"
this V0 is actually easy,Hangar18SC,586,0,0,"[[(56, 32), 'Feet'], [(80, 40), 'Feet'], [(56, 64), 'Starting'], [(72, 64), 'Starting'], [(64, 80), 'Hand'], [(40, 88), 'Hand'], [(64, 96), 'Hand'], [(56, 112), 'Hand'], [(72, 112), 'Hand'], [(56, 128), 'Hand'], [(72, 128), 'Hand'], [(80, 136), 'Finish'], [(56, 144), 'Finish']]"
stronger,linus,453,30,4,"[[(72, 48), 'Starting'], [(80, 88), 'Hand'], [(88, 112), 'Hand'], [(88, 120), 'Hand'], [(88, 136), 'Hand'], [(56, 152), 'Finish'], [(68, 4), 'Feet'], [(100, 36), 'Feet'], [(76, 76), 'Feet'], [(116, 84), 'Feet'], [(28, 92), 'Feet']]"
Pin(ch) Point Accuracy,Thatsprettybrad,44,40,5,"[[(96, 8), 'Feet'], [(80, 8), 'Feet'], [(48, 8), 'Feet'], [(80, 40), 'Feet'], [(40, 56), 'Starting'], [(72, 56), 'Hand'], [(72, 64), 'Hand'], [(112, 72), 'Hand'], [(80, 80), 'Hand'], [(80, 88), 'Feet'], [(80, 104), 'Hand'], [(112, 104), 'Hand'], [(104, 136), 'Hand'], [(104, 152), 'Finish'], [(68, 4), 'Feet'], [(52, 4), 'Feet'], [(92, 60), 'Feet']]"
FILLY,alfyrmdzn,70,45,1,"[[(136, 8), 'Feet'], [(112, 8), 'Feet'], [(136, 16), 'Feet'], [(96, 24), 'Feet'], [(120, 40), 'Starting'], [(128, 56), 'Starting'], [(120, 72), 'Hand'], [(112, 80), 'Hand'], [(80, 96), 'Feet'], [(120, 112), 'Hand'], [(104, 128), 'Hand'], [(104, 144), 'Hand'], [(88, 152), 'Finish'], [(124, 44), 'Feet'], [(100, 68), 'Feet']]"
soo-ffle cake,ethan.shy,59,40,2,"[[(32, 16), 'Starting'], [(56, 16), 'Feet'], [(16, 40), 'Starting'], [(48, 48), 'Hand'], [(88, 48), 'Feet'], [(32, 64), 'Hand'], [(56, 72), 'Hand'], [(96, 72), 'Feet'], [(72, 80), 'Hand'], [(56, 96), 'Hand'], [(104, 104), 'Feet'], [(72, 112), 'Hand'], [(72, 120), 'Hand'], [(80, 136), 'Hand'], [(56, 152), 'Finish'], [(36, 4), 'Feet'], [(4, 4), 'Feet']]"
purple gold simulator,traoz,77,20,5,"[[(88, 8), 'Feet'], [(88, 32), 'Starting'], [(64, 40), 'Starting'], [(80, 48), 'Hand'], [(48, 56), 'Hand'], [(64, 88), 'Hand'], [(88, 104), 'Hand'], [(64, 136), 'Hand'], [(88, 136), 'Hand'], [(80, 152), 'Finish'], [(84, 52), 'Feet']]"
vs project 1,villesandeen,55,25,3,"[[(56, 8), 'Feet'], [(72, 32), 'Starting'], [(32, 40), 'Feet'], [(72, 48), 'Starting'], [(56, 64), 'Hand'], [(72, 64), 'Feet'], [(88, 72), 'Hand'], [(120, 80), 'Feet'], [(56, 96), 'Hand'], [(72, 96), 'Hand'], [(104, 104), 'Hand'], [(120, 120), 'Hand'], [(80, 128), 'Hand'], [(96, 136), 'Hand'], [(120, 136), 'Hand'], [(128, 152), 'Finish']]"
X’s & O’s,Ahnsight,688,15,2,"[[(8, 16), 'Feet'], [(16, 40), 'Starting'], [(24, 64), 'Hand'], [(96, 72), 'Feet'], [(40, 88), 'Hand'], [(64, 112), 'Hand'], [(72, 120), 'Hand'], [(88, 152), 'Finish'], [(28, 4), 'Feet'], [(52, 36), 'Feet'], [(60, 60), 'Feet']]"
snake jigger,yeetman420,54,15,2,"[[(72, 8), 'Feet'], [(32, 48), 'Starting'], [(48, 48), 'Feet'], [(48, 64), 'Starting'], [(56, 72), 'Hand'], [(80, 72), 'Hand'], [(88, 80), 'Hand'], [(56, 104), 'Hand'], [(72, 104), 'Hand'], [(88, 104), 'Hand'], [(48, 112), 'Hand'], [(56, 128), 'Hand'], [(72, 144), 'Hand'], [(88, 144), 'Hand'], [(112, 152), 'Finish'], [(52, 20), 'Feet'], [(100, 36), 'Feet'], [(116, 100), 'Feet']]"
Vitaliy’s First Boulder,dick,76,25,5,"[[(24, 8), 'Feet'], [(32, 32), 'Starting'], [(56, 56), 'Starting'], [(56, 80), 'Hand'], [(96, 88), 'Hand'], [(72, 104), 'Hand'], [(104, 136), 'Hand'], [(80, 152), 'Finish']]"
Hey Hey Hey,Junghan,58,40,5,"[[(72, 40), 'Starting'], [(112, 40), 'Starting'], [(88, 72), 'Hand'], [(112, 88), 'Hand'], [(96, 112), 'Hand'], [(104, 128), 'Hand'], [(80, 136), 'Hand'], [(72, 152), 'Finish'], [(88, 152), 'Finish'], [(76, 28), 'Feet'], [(116, 84), 'Feet']]"
Heidi for James,BKBChicago,41,5,2,"[[(112, 8), 'Feet'], [(112, 24), 'Starting'], [(80, 40), 'Starting'], [(104, 48), 'Hand'], [(88, 72), 'Hand'], [(120, 80), 'Hand'], [(80, 104), 'Hand'], [(120, 120), 'Hand'], [(96, 152), 'Finish']]"
hardy hardly,GW_Kilter,135,30,3,"[[(80, 8), 'Feet'], [(56, 8), 'Feet'], [(72, 40), 'Starting'], [(72, 80), 'Hand'], [(64, 96), 'Hand'], [(48, 104), 'Hand'], [(48, 112), 'Hand'], [(72, 136), 'Hand'], [(80, 144), 'Hand'], [(104, 152), 'Finish'], [(68, 36), 'Feet'], [(76, 44), 'Feet'], [(36, 52), 'Feet'], [(68, 52), 'Feet']]"
Booze In The Bathtub,Luke5236,89,55,3,"[[(136, 8), 'Feet'], [(120, 40), 'Starting'], [(136, 40), 'Starting'], [(120, 72), 'Hand'], [(120, 88), 'Hand'], [(96, 112), 'Hand'], [(128, 112), 'Hand'], [(120, 136), 'Hand'], [(104, 152), 'Finish'], [(92, 60), 'Feet']]"
Intruder Alert,daxxta,510,0,2,"[[(64, 16), 'Feet'], [(48, 32), 'Starting'], [(72, 56), 'Starting'], [(64, 80), 'Hand'], [(32, 96), 'Hand'], [(56, 104), 'Hand'], [(48, 136), 'Hand'], [(88, 152), 'Finish'], [(44, 4), 'Feet'], [(92, 28), 'Feet'], [(52, 52), 'Feet'], [(44, 76), 'Feet']]"
spongebob panty raid,dealios,176,30,7,"[[(32, 32), 'Starting'], [(64, 40), 'Starting'], [(64, 72), 'Hand'], [(96, 88), 'Hand'], [(72, 104), 'Hand'], [(104, 136), 'Hand'], [(72, 152), 'Finish'], [(76, 4), 'Feet'], [(44, 4), 'Feet'], [(52, 20), 'Feet']]"
Alright,Krose21,70,25,5,"[[(104, 32), 'Starting'], [(80, 72), 'Hand'], [(64, 112), 'Hand'], [(64, 144), 'Hand'], [(32, 152), 'Finish'], [(140, 4), 'Feet'], [(84, 4), 'Feet'], [(44, 44), 'Feet'], [(92, 92), 'Hand']]"
dmw15,mhw406,429,30,4,"[[(120, 40), 'Starting'], [(128, 40), 'Starting'], [(80, 48), 'Hand'], [(112, 72), 'Hand'], [(64, 88), 'Hand'], [(80, 88), 'Hand'], [(80, 120), 'Hand'], [(96, 128), 'Hand'], [(104, 152), 'Finish'], [(140, 4), 'Feet'], [(124, 4), 'Feet'], [(84, 4), 'Feet'], [(68, 20), 'Feet'], [(92, 28), 'Feet'], [(60, 44), 'Feet'], [(60, 60), 'Feet']]"
Rainbow Swing,importedbean,90,0,1,"[[(56, 8), 'Feet'], [(80, 32), 'Starting'], [(56, 40), 'Starting'], [(48, 48), 'Feet'], [(88, 72), 'Hand'], [(48, 80), 'Hand'], [(112, 80), 'Feet'], [(72, 88), 'Feet'], [(56, 96), 'Hand'], [(88, 112), 'Hand'], [(56, 128), 'Hand'], [(80, 152), 'Finish']]"
jumbo mumbo,BKBChicago,71,0,0,"[[(112, 8), 'Feet'], [(88, 8), 'Feet'], [(112, 32), 'Feet'], [(64, 40), 'Feet'], [(80, 40), 'Feet'], [(96, 48), 'Starting'], [(104, 48), 'Starting'], [(80, 56), 'Feet'], [(112, 64), 'Hand'], [(80, 72), 'Feet'], [(88, 72), 'Hand'], [(96, 80), 'Hand'], [(40, 88), 'Feet'], [(72, 88), 'Hand'], [(88, 104), 'Hand'], [(72, 112), 'Hand'], [(72, 136), 'Finish']]"
kevin noooo,jwebxl,160,0,2,"[[(96, 8), 'Feet'], [(64, 8), 'Feet'], [(40, 32), 'Starting'], [(72, 40), 'Starting'], [(80, 40), 'Feet'], [(80, 72), 'Hand'], [(112, 80), 'Hand'], [(96, 104), 'Hand'], [(112, 128), 'Hand'], [(96, 152), 'Finish']]"
Mai Proj 2,stone.gardens,41,40,3,"[[(72, 40), 'Starting'], [(56, 64), 'Hand'], [(88, 80), 'Hand'], [(80, 96), 'Hand'], [(104, 112), 'Hand'], [(104, 128), 'Hand'], [(120, 152), 'Finish'], [(68, 4), 'Feet'], [(60, 4), 'Feet'], [(68, 20), 'Feet'], [(100, 36), 'Feet']]"
3x3 spread only,eddiehills,48,40,6,"[[(40, 40), 'Starting'], [(40, 56), 'Feet'], [(8, 72), 'Hand'], [(56, 80), 'Hand'], [(32, 104), 'Hand'], [(64, 128), 'Hand'], [(40, 152), 'Finish'], [(28, 4), 'Feet'], [(4, 20), 'Feet'], [(36, 20), 'Feet']]"
Why is there so much ego,Arne,41,30,5,"[[(8, 40), 'Starting'], [(96, 40), 'Hand'], [(40, 48), 'Hand'], [(96, 48), 'Hand'], [(112, 48), 'Hand'], [(48, 56), 'Hand'], [(120, 56), 'Hand'], [(96, 96), 'Hand'], [(112, 96), 'Hand'], [(40, 104), 'Hand'], [(80, 104), 'Hand'], [(48, 112), 'Hand'], [(80, 112), 'Hand'], [(24, 128), 'Hand'], [(40, 152), 'Finish'], [(92, 4), 'Feet'], [(68, 4), 'Feet'], [(60, 4), 'Feet'], [(36, 4), 'Feet'], [(116, 20), 'Feet'], [(140, 28), 'Feet'], [(124, 44), 'Feet'], [(44, 76), 'Feet'], [(36, 84), 'Feet'], [(52, 84), 'Feet'], [(52, 100), 'Feet']]"
Debs Hates Debbie,GirthQuake,46,40,3,"[[(80, 24), 'Starting'], [(96, 48), 'Starting'], [(80, 64), 'Hand'], [(88, 64), 'Hand'], [(72, 80), 'Hand'], [(96, 104), 'Hand'], [(104, 112), 'Hand'], [(104, 128), 'Hand'], [(128, 136), 'Hand'], [(128, 152), 'Finish'], [(68, 4), 'Feet'], [(52, 20), 'Feet'], [(84, 52), 'Feet'], [(124, 76), 'Feet'], [(100, 84), 'Feet'], [(124, 92), 'Feet']]"
short 'n nubby,MorgyDee,41,40,0,"[[(104, 40), 'Feet'], [(112, 40), 'Feet'], [(128, 48), 'Feet'], [(96, 56), 'Feet'], [(88, 72), 'Feet'], [(96, 88), 'Feet'], [(120, 88), 'Starting'], [(136, 96), 'Starting'], [(104, 112), 'Hand'], [(120, 112), 'Hand'], [(136, 112), 'Feet'], [(104, 128), 'Hand'], [(112, 128), 'Hand'], [(120, 144), 'Hand'], [(104, 152), 'Finish']]"
Reverse Giraffe,jwilder,41,30,3,"[[(72, 8), 'Feet'], [(64, 56), 'Starting'], [(80, 56), 'Starting'], [(64, 80), 'Hand'], [(80, 80), 'Hand'], [(64, 104), 'Hand'], [(96, 120), 'Hand'], [(80, 144), 'Finish']]"
